TEAM_NAME,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,EFG_PCT,TS_PCT,DREB_PCT,TM_TOV_PCT,PACE,PIE
Atlanta Hawks,0.561,115.0,112.9,2.2,0.554,0.584,0.702,0.138,102.5,0.51
Boston Celtics,0.683,120.0,111.7,8.3,0.553,0.583,0.71,0.129,95.58,0.536
Brooklyn Nets,0.244,108.2,118.2,-10.0,0.52,0.559,0.687,0.161,97.6,0.436
Charlotte Hornets,0.537,118.4,113.5,4.9,0.552,0.589,0.722,0.157,97.59,0.516
Chicago Bulls,0.378,112.1,117.4,-5.3,0.547,0.58,0.708,0.148,103.22,0.48
Cleveland Cavaliers,0.634,118.3,114.1,4.1,0.561,0.595,0.692,0.138,100.7,0.522
Dallas Mavericks,0.317,110.3,115.5,-5.2,0.527,0.564,0.702,0.141,102.62,0.477
Denver Nuggets,0.659,121.2,116.0,5.2,0.577,0.616,0.717,0.128,99.49,0.529
Detroit Pistons,0.732,117.3,108.9,8.4,0.546,0.583,0.689,0.151,99.88,0.552
Golden State Warriors,0.451,113.8,114.4,-0.5,0.549,0.584,0.684,0.156,100.05,0.495
Houston Rockets,0.634,117.5,112.1,5.4,0.542,0.576,0.701,0.157,96.98,0.533
Indiana Pacers,0.232,110.1,117.9,-7.8,0.533,0.568,0.695,0.142,101.78,0.465
LA Clippers,0.512,116.3,115.2,1.1,0.559,0.602,0.681,0.147,97.29,0.508
Los Angeles Lakers,0.646,117.0,115.5,1.5,0.573,0.609,0.7,0.146,99.22,0.513
Memphis Grizzlies,0.305,112.4,118.4,-6.0,0.533,0.57,0.663,0.148,101.69,0.47
Miami Heat,0.524,115.8,113.6,2.1,0.542,0.58,0.703,0.131,104.22,0.514
Milwaukee Bucks,0.39,112.2,118.3,-6.1,0.565,0.589,0.695,0.154,98.33,0.464
Minnesota Timberwolves,0.598,115.6,112.5,3.1,0.559,0.592,0.691,0.145,101.5,0.516
New Orleans Pelicans,0.317,113.3,117.6,-4.4,0.527,0.568,0.674,0.139,101.37,0.48
New York Knicks,0.646,118.7,112.3,6.4,0.557,0.59,0.715,0.139,97.71,0.533
Oklahoma City Thunder,0.78,117.6,106.5,11.1,0.561,0.599,0.697,0.124,100.37,0.562
Orlando Magic,0.549,114.2,113.6,0.6,0.531,0.576,0.71,0.14,100.56,0.505
Philadelphia 76ers,0.549,114.3,114.4,-0.1,0.53,0.572,0.678,0.134,100.39,0.497
Phoenix Suns,0.549,114.2,112.9,1.4,0.537,0.568,0.677,0.147,98.14,0.495
Portland Trail Blazers,0.512,113.1,113.5,-0.4,0.534,0.57,0.688,0.169,101.63,0.488
Sacramento Kings,0.268,110.6,120.3,-9.7,0.525,0.56,0.685,0.143,100.12,0.455
San Antonio Spurs,0.756,118.7,110.4,8.4,0.559,0.595,0.724,0.133,100.72,0.542
Toronto Raptors,0.561,115.0,112.1,2.9,0.546,0.581,0.693,0.137,99.22,0.522
Utah Jazz,0.268,112.7,120.8,-8.2,0.536,0.575,0.693,0.149,103.54,0.464
Washington Wizards,0.207,109.7,121.5,-11.8,0.535,0.566,0.664,0.152,102.49,0.433
